id,name,lat,lon
426,"42.88,  3.38",42.875,3.375
427,"43.38,  3.38",43.375,3.375
428,"43.88,  3.38",43.875,3.375
429,"44.38,  3.38",44.375,3.375
430,"44.88,  3.38",44.875,3.375
431,"45.38,  3.38",45.375,3.375
432,"45.88,  3.38",45.875,3.375
433,"46.38,  3.38",46.375,3.375
434,"46.88,  3.38",46.875,3.375
435,"47.38,  3.38",47.375,3.375
436,"47.88,  3.38",47.875,3.375
437,"48.38,  3.38",48.375,3.375
438,"48.88,  3.38",48.875,3.375
439,"49.38,  3.38",49.375,3.375
440,"49.88,  3.38",49.875,3.375
441,"50.38,  3.38",50.375,3.375
442,"50.88,  3.38",50.875,3.375
443,"51.38,  3.38",51.375,3.375
452,"43.38,  3.88",43.375,3.875
453,"43.88,  3.88",43.875,3.875
454,"44.38,  3.88",44.375,3.875
455,"44.88,  3.88",44.875,3.875
456,"45.38,  3.88",45.375,3.875
457,"45.88,  3.88",45.875,3.875
458,"46.38,  3.88",46.375,3.875
459,"46.88,  3.88",46.875,3.875
460,"47.38,  3.88",47.375,3.875
461,"47.88,  3.88",47.875,3.875
462,"48.38,  3.88",48.375,3.875
463,"48.88,  3.88",48.875,3.875
464,"49.38,  3.88",49.375,3.875
465,"49.88,  3.88",49.875,3.875
466,"50.38,  3.88",50.375,3.875
467,"50.88,  3.88",50.875,3.875
468,"51.38,  3.88",51.375,3.875
469,"51.88,  3.88",51.875,3.875
477,"43.38,  4.38",43.375,4.375
478,"43.88,  4.38",43.875,4.375
479,"44.38,  4.38",44.375,4.375
480,"44.88,  4.38",44.875,4.375
481,"45.38,  4.38",45.375,4.375
482,"45.88,  4.38",45.875,4.375
483,"46.38,  4.38",46.375,4.375
484,"46.88,  4.38",46.875,4.375
485,"47.38,  4.38",47.375,4.375
486,"47.88,  4.38",47.875,4.375
487,"48.38,  4.38",48.375,4.375
488,"48.88,  4.38",48.875,4.375
489,"49.38,  4.38",49.375,4.375
490,"49.88,  4.38",49.875,4.375
491,"50.38,  4.38",50.375,4.375
492,"50.88,  4.38",50.875,4.375
493,"51.38,  4.38",51.375,4.375
494,"51.88,  4.38",51.875,4.375
495,"52.38,  4.38",52.375,4.375
496,"52.88,  4.38",52.875,4.375
503,"43.88,  4.88",43.875,4.875
504,"44.38,  4.88",44.375,4.875
505,"44.88,  4.88",44.875,4.875
506,"45.38,  4.88",45.375,4.875
507,"45.88,  4.88",45.875,4.875
508,"46.38,  4.88",46.375,4.875
509,"46.88,  4.88",46.875,4.875
510,"47.38,  4.88",47.375,4.875
511,"47.88,  4.88",47.875,4.875
512,"48.38,  4.88",48.375,4.875
513,"48.88,  4.88",48.875,4.875
514,"49.38,  4.88",49.375,4.875
515,"49.88,  4.88",49.875,4.875
516,"50.38,  4.88",50.375,4.875
517,"50.88,  4.88",50.875,4.875
518,"51.38,  4.88",51.375,4.875
519,"51.88,  4.88",51.875,4.875
520,"52.38,  4.88",52.375,4.875
521,"52.88,  4.88",52.875,4.875
529,"44.38,  5.38",44.375,5.375
530,"44.88,  5.38",44.875,5.375
531,"45.38,  5.38",45.375,5.375
532,"45.88,  5.38",45.875,5.375
533,"46.38,  5.38",46.375,5.375
534,"46.88,  5.38",46.875,5.375
535,"47.38,  5.38",47.375,5.375
536,"47.88,  5.38",47.875,5.375
537,"48.38,  5.38",48.375,5.375
538,"48.88,  5.38",48.875,5.375
539,"49.38,  5.38",49.375,5.375
540,"49.88,  5.38",49.875,5.375
541,"50.38,  5.38",50.375,5.375
542,"50.88,  5.38",50.875,5.375
543,"51.38,  5.38",51.375,5.375
544,"51.88,  5.38",51.875,5.375
545,"52.38,  5.38",52.375,5.375
546,"52.88,  5.38",52.875,5.375
547,"53.38,  5.38",53.375,5.375
555,"44.88,  5.88",44.875,5.875
556,"45.38,  5.88",45.375,5.875
557,"45.88,  5.88",45.875,5.875
558,"46.38,  5.88",46.375,5.875
559,"46.88,  5.88",46.875,5.875
560,"47.38,  5.88",47.375,5.875
561,"47.88,  5.88",47.875,5.875
562,"48.38,  5.88",48.375,5.875
563,"48.88,  5.88",48.875,5.875
564,"49.38,  5.88",49.375,5.875
565,"49.88,  5.88",49.875,5.875
566,"50.38,  5.88",50.375,5.875
567,"50.88,  5.88",50.875,5.875
568,"51.38,  5.88",51.375,5.875
569,"51.88,  5.88",51.875,5.875
570,"52.38,  5.88",52.375,5.875
571,"52.88,  5.88",52.875,5.875
572,"53.38,  5.88",53.375,5.875
