"Tint","oper_mod","Hint","class","mtrf","nEcho","mean_dir","sd_dir_Mardia72","sd_dir_Batschelet84","med_dir","meanSpeed","sdSpeed","medSpeed","nFlightBehav","is_night","sunset_date","tstepS","RecS","RainS","RecH","tstepH","mtr"
2016-09-01 23:00:00,"S",1000,"bird",616.553253231875,91,194.590122296923,91.310135665871,68.7136081028771,196.121,20.268376969697,12.8733054937603,15.0496,33,1,"20160901",3600,1680,8,0.466666666666667,1,1321.18554263973
2016-09-02 00:00:00,"L",1000,"bird",77.9305793112223,15,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,333.988197048095
2016-09-02 00:00:00,"M",1000,"bird",157.124573847648,41,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,6,0.233333333333333,1,673.391030775636
2016-09-02 00:00:00,"S",1000,"bird",462.184230707312,76,241.888473205517,63.4553848414545,54.8623542362145,246.1315,14.70516375,6.92622672755414,11.88055,24,1,"20160901",3600,1680,0,0.466666666666667,1,990.394780087096
2016-09-02 01:00:00,"L",1000,"bird",54.2175072313655,14,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,13,0.233333333333333,1,232.360745277281
2016-09-02 01:00:00,"M",1000,"bird",148.862024027967,37,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,637.980102977002
2016-09-02 01:00:00,"S",1000,"bird",446.841562053892,45,306.642058104152,69.4402522511733,58.4427420537493,312.9665,15.4485625,9.42441360977013,15.04145,12,1,"20160901",3600,1680,14,0.466666666666667,1,957.517632972626
2016-09-02 02:00:00,"L",1000,"bird",49.1796815669937,10,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,6,0.233333333333333,1,210.770063858544
2016-09-02 02:00:00,"M",1000,"bird",99.6544181750635,22,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,427.090363607415
2016-09-02 02:00:00,"S",1000,"bird",259.719448564636,26,245.701653501031,65.3875939686012,56.0551368122801,225.9105,8.000885,4.9606701576184,6.82064,8,1,"20160901",3600,1680,0,0.466666666666667,1,556.541675495649
2016-09-02 03:00:00,"L",1000,"bird",47.0919629211933,8,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,10,0.233333333333333,1,201.822698233685
2016-09-02 03:00:00,"M",1000,"bird",66.5406621875764,12,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,285.174266518185
2016-09-02 03:00:00,"S",1000,"bird",181.844513352248,30,254.04649955156,66.975741179989,57.0092185743766,255.6515,11.995575,4.19249102780305,11.0297,12,1,"20160901",3600,1680,10,0.466666666666667,1,389.666814326245
2016-09-02 04:00:00,"L",1000,"bird",24.3447618507365,7,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,9,0.233333333333333,1,104.334693646014
2016-09-02 04:00:00,"M",1000,"bird",31.0337909504032,7,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,133.001961216014
2016-09-02 04:00:00,"S",1000,"bird",123.755431169082,18,237.77943694247,54.9630264526988,49.2069482121285,237.114,13.733702,5.97559261649587,10.4861,5,0,"20160902",3600,1680,20,0.466666666666667,1,265.190209648034
2016-09-02 05:00:00,"L",1000,"bird",22.8178685869603,4,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,97.790865372687
2016-09-02 05:00:00,"M",1000,"bird",36.1479422220304,6,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,7,0.233333333333333,1,154.91975238013
2016-09-02 05:00:00,"S",1000,"bird",232.767471430655,36,237.676318705775,81.0811812542351,64.4468800427378,236.332,19.0590676923077,8.07851083597111,20.6251,13,0,"20160902",3600,1680,0,0.466666666666667,1,498.787438779974
2016-09-02 06:00:00,"L",1000,"bird",14.7033638591455,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,6,0.233333333333333,1,63.014416539195
2016-09-02 06:00:00,"M",1000,"bird",7.72722184935984,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,8,0.233333333333333,1,33.116665068685
2016-09-02 06:00:00,"S",1000,"bird",77.744382929601,11,114.128,0,0,114.128,6.17022,NA,6.17022,1,0,"20160902",3600,1680,0,0.466666666666667,1,166.595106277716
2016-09-02 07:00:00,"L",1000,"bird",9.2130892768615,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,39.4846683294064
2016-09-02 07:00:00,"M",1000,"bird",14.4281329734631,4,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,61.8348556005561
2016-09-02 07:00:00,"S",1000,"bird",165.898518314811,18,190.147012572639,78.08833590835,63.0228212699789,203.217,18.6555333333333,7.43808360825107,21.834,3,0,"20160902",3600,1680,47,0.466666666666667,1,355.496824960309
2016-09-02 08:00:00,"L",1000,"bird",4.44538615562305,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,19.0516549526702
2016-09-02 08:00:00,"M",1000,"bird",11.0487957960938,3,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,9,0.233333333333333,1,47.3519819832593
2016-09-02 08:00:00,"S",1000,"bird",19.5501928754433,5,314.710773494312,83.105851440181,65.3643107140984,322.499,24.4526833333333,12.9115349000742,28.7597,3,0,"20160902",3600,1680,0,0.466666666666667,1,41.8932704473786
2016-09-02 09:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,10,0.233333333333333,1,0
2016-09-02 09:00:00,"M",1000,"bird",3.30459530044077,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,14.1625512876033
2016-09-02 09:00:00,"S",1000,"bird",126.574419674217,11,12.113938893442,75.7699987911364,61.8632841220664,19.7211,24.031565,21.7682371234455,15.8666,6,0,"20160902",3600,1680,8,0.466666666666667,1,271.230899301894
2016-09-02 10:00:00,"L",1000,"bird",8.70521405923701,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,37.3080602538729
